"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"302",0,0,0,0,0,0,0,2,0,2
"303",1,0,0,1,1,1,0,0,0,4
"304",1,1,1,2,0,2,0,2,4,0
"305",0,0,0,0,0,0,0,0,0,1
"306",2,1,1,2,0,2,0,3,2,3
"307",0,1,0,1,0,0,0,2,1,2
"308",1,0,0,2,0,0,0,2,1,3
"309",0,0,0,0,0,1,0,0,2,1
"310",0,0,0,0,0,0,0,0,1,0
"311",0,1,0,1,1,0,0,4,0,4
"312",1,0,1,1,0,1,1,0,1,0
"313",1,1,0,1,0,1,0,0,1,1
"314",1,0,0,1,1,1,0,0,0,4
"315",1,0,1,1,0,0,0,1,1,1
"316",2,1,0,1,1,1,0,1,2,2
"317",2,1,1,2,0,2,0,3,2,3
"318",0,2,0,1,0,0,0,2,0,3
"319",2,3,1,2,2,1,1,2,3,2
"320",2,2,0,2,0,1,0,1,3,2
"321",1,0,0,1,0,0,0,0,0,0
"322",2,1,0,2,0,2,0,0,2,1
"323",1,0,0,1,1,1,0,0,0,4
"324",0,1,0,1,0,0,0,2,1,2
"325",2,1,1,2,0,2,0,3,2,3
"326",0,1,0,1,0,0,0,2,1,2
"327",1,0,0,1,1,1,0,0,0,4
"328",2,0,2,2,0,2,0,1,4,1
"329",0,1,0,1,0,0,0,2,1,2
"330",1,0,0,1,0,1,0,0,1,0
"331",1,2,0,1,0,1,0,1,2,2
"332",2,2,0,2,0,1,0,1,3,2
"333",0,1,0,1,0,0,0,2,1,2
"334",0,0,0,0,0,1,0,0,2,1
"335",0,1,0,1,0,0,0,2,1,2
"336",0,0,0,0,0,0,0,2,2,2
"337",1,1,0,1,0,0,0,0,1,2
"338",0,1,0,1,0,0,0,2,1,2
"339",0,3,0,0,1,0,0,3,0,5
"340",1,0,0,1,1,1,0,0,0,4
"341",0,1,0,1,0,1,1,1,2,2
"342",0,0,0,0,0,0,0,0,1,0
"343",1,1,0,1,0,1,0,1,1,2
"344",0,0,0,1,0,0,0,1,0,1
"345",0,0,0,0,0,0,0,0,0,1
"346",0,0,0,0,0,1,0,0,2,0
"347",1,1,0,1,0,1,0,2,1,1
"348",0,1,0,0,0,0,0,0,0,1
"349",0,1,0,0,0,0,0,0,0,1
"350",4,0,1,5,0,2,2,1,5,1
"351",4,2,1,3,1,1,2,1,4,4
"352",1,0,1,2,0,1,0,1,4,2
"353",2,1,1,2,0,2,0,3,2,3
"354",0,0,0,0,0,0,0,0,0,0
"355",0,4,1,0,2,0,2,4,3,6
"356",1,0,0,1,0,1,0,0,2,2
"357",0,0,0,1,0,1,0,0,1,0
"358",0,1,0,1,0,0,0,2,1,2
"359",1,1,0,2,0,2,0,1,4,1
"360",1,0,1,1,0,0,0,2,1,2
"361",0,3,0,0,1,0,0,3,1,4
"362",1,1,0,1,0,0,0,0,1,2
"363",4,0,0,2,0,2,2,0,5,1
"364",2,0,0,2,0,1,0,0,2,0
"365",0,1,2,1,0,0,0,1,2,1
"366",1,0,0,1,1,1,0,0,0,4
"367",1,2,0,1,0,1,0,1,2,2
"368",0,2,1,1,0,0,1,0,1,1
"369",0,0,0,0,0,0,0,1,0,1
"370",1,0,0,2,0,0,0,1,2,2
"371",0,0,0,0,0,0,0,0,1,0
"372",1,0,0,1,0,1,0,1,2,0
"373",1,1,0,1,0,0,0,0,1,2
"374",1,1,1,2,0,1,2,3,2,2
"375",0,0,0,0,1,0,0,0,0,1
"376",0,1,2,1,0,0,0,1,2,1
"377",0,1,0,0,1,0,0,1,0,3
"378",1,0,1,2,0,1,0,1,4,2
"379",2,0,0,1,0,0,1,0,1,1
"380",2,0,1,2,0,1,1,0,3,3
"381",1,2,0,1,0,1,0,1,2,2
"382",0,0,0,0,0,0,0,1,0,1
"383",0,1,0,1,0,0,0,0,0,1
"384",2,0,0,1,0,0,1,0,1,1
"385",0,1,0,0,1,0,0,1,0,3
"386",0,0,0,0,0,0,0,2,0,3
"387",0,1,0,1,0,0,0,2,1,2
"388",0,0,0,0,0,0,0,3,0,3
"389",0,0,0,0,0,0,0,0,0,0
"390",0,0,0,0,0,0,0,0,1,0
"391",0,0,0,0,0,0,0,3,0,3
"392",0,3,1,0,2,0,1,1,2,3
"393",0,0,0,0,0,0,0,1,0,1
"394",0,1,0,1,0,0,0,2,1,2
"395",1,0,0,2,0,1,0,0,2,0
"396",0,0,0,0,0,0,0,0,0,0
"397",1,0,0,1,1,1,0,0,0,4
"398",1,0,0,1,1,1,0,0,0,4
"399",1,0,1,1,0,0,0,2,1,2
"400",4,2,1,3,1,1,2,1,4,4
"401",0,1,2,1,0,0,0,1,2,1
"402",1,0,0,1,1,1,0,0,0,4
"403",0,0,0,0,1,0,0,3,0,3
"404",3,0,2,4,0,2,2,0,5,0
"405",3,0,0,2,0,1,0,1,3,0
"406",1,0,0,1,0,1,0,0,1,1
"407",0,0,0,0,0,1,0,0,2,0
"408",1,0,1,1,0,0,0,2,1,2
"409",0,0,0,0,0,0,0,1,0,1
"410",0,1,2,1,0,0,0,1,2,1
"411",0,1,0,1,0,0,0,2,1,2
"412",0,2,0,0,0,0,0,0,0,1
"413",3,1,2,1,1,1,1,1,3,2
"414",0,0,0,1,0,1,0,0,3,0
"415",0,0,0,0,0,0,0,1,0,1
"416",0,0,0,0,0,0,0,0,0,0
"417",2,1,0,3,0,1,0,0,5,3
"418",3,3,2,2,1,2,1,3,4,2
"419",0,0,0,1,0,1,1,0,1,0
"420",1,0,1,1,0,0,0,2,1,2
"421",0,0,0,1,0,1,1,0,1,0
"422",2,0,0,0,0,0,0,0,2,2
"423",1,0,0,1,0,1,0,1,1,1
"424",1,1,1,0,1,0,0,4,2,3
"425",0,1,2,1,0,0,0,1,2,1
"426",0,0,0,0,0,0,0,0,0,0
"427",0,0,0,0,0,0,0,0,0,0
"428",1,0,0,1,1,1,0,0,0,4
"429",0,0,0,0,0,0,0,0,0,0
"430",1,0,1,1,0,0,0,2,1,2
"431",0,1,0,1,0,0,0,2,1,2
"432",1,0,0,2,0,1,0,0,2,0
"433",0,1,0,2,1,2,1,1,3,2
"434",1,0,0,1,0,1,0,0,1,0
"435",0,0,0,0,0,1,0,0,2,0
"436",2,1,0,2,0,2,0,0,2,1
"437",0,1,0,0,0,0,0,0,1,1
"438",0,1,0,0,0,0,0,0,1,1
"439",0,0,0,0,0,0,0,0,0,0
"440",0,1,0,1,1,0,0,4,0,4
"441",2,1,1,2,0,2,0,3,2,3
"442",0,0,0,0,0,0,0,0,0,0
"443",0,0,0,0,0,0,0,0,0,0
"444",2,0,0,1,0,0,0,0,2,1
